catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location
523156131,Canon EOS 5D Mark IV,EF500mm f/4L IS II USM +1.4x III,800,700 mm,Flash did not fire,f/5.6,1/640 sec,4137 pixels x 2758 pixels,887.9 KB,,,,,Western Gull,Larus occidentalis,Rhys Marsh,2022-12-31,2022,4.9,42,North America
299586531,Canon EOS 7D Mark II,EF300mm f/4L IS USM,400,300 mm,Flash did not fire,f/4.5,1/5000 sec,2698 pixels x 2111 pixels,878.2 KB,,,,,Barrow's Goldeneye,Bucephala islandica,Nora Papian,2021-01-18,2021,4.9,42,North America
106836911,NIKON D500,500.0 mm f/4.0,800,700 mm,Flash did not fire,f/7.1,1/250 sec,2324 pixels x 1665 pixels,957.28 KB,,,,,Terek Sandpiper,Xenus cinereus,William Higgins,2018-06-10,2018,4.9,42,North America
383069571,Canon EOS 77D,EF100-400mm f/4.5-5.6L IS II USM,125,400 mm,Flash did not fire,f/5.6,1/500 sec,2280 pixels x 1520 pixels,2.12 MB,,,,,Eurasian Coot,Fulica atra,Kakul Paul,2021-10-27,2021,4.9,31,Asia
582532401,Canon PowerShot SX60 HS,,200,247 mm,Flash did not fire,f/6.5,1/160 sec,1467 pixels x 2200 pixels,3.07 MB,,,,,Little Owl,Athene noctua,Juan Carlos Milán,2023-06-08,2023,4.9,42,Europe
394299201,ILCE-7M3,FE 200-600mm F5.6-6.3 G OSS,640,600 mm,Flash did not fire,f/6.3,1/320 sec,3109 pixels x 2332 pixels,4.51 MB,,,,,Stork-billed Kingfisher,Pelargopsis capensis,Frank Chen,2021-12-08,2021,4.9,31,Asia
468411351,Canon EOS 70D,100-400mm F5-6.3 DG OS HSM | Contemporary 017,250,400 mm,Flash did not fire,f/6.3,1/500 sec,1330 pixels x 887 pixels,254.53 KB,,,,,Black-throated Gray Warbler,Setophaga nigrescens,Samuelle Simard-Provencal 🐋,2022-07-18,2022,4.9,111,North America
627372504,ILCE-7M4,FE 300mm F2.8 GM OSS,5000,300 mm,Flash did not fire,f/2.8,1/1000 sec,4044 pixels x 2696 pixels,8.51 MB,,,,,Golden-crowned Kinglet,Regulus satrapa,Devin Pitts,2024-12-10,2024,4.9,40,North America
467052321,Canon EOS 90D,,200,275 mm,,f/5.7,17/17418 sec,6960 pixels x 4640 pixels,10.99 MB,,,,,Helmeted Guineafowl,Numida meleagris,Johannes Hogrefe,2022-06-30,2022,4.9,51,Africa
397688151,NIKON D500,,2000,420 mm,Flash did not fire,f/5.6,1/2000 sec,5440 pixels x 3627 pixels,2.01 MB,,,,,Light-mantled Albatross,Phoebetria palpebrata,Ryan Merrill,2021-11-30,2021,4.9,40,South America
